m.ref,spec.r,group.r,date,month,year,latwgs84,longwgs84,sex,age.r
M632/99,Short-beaked common dolphin,Common Dolphin,16/10/1999,10,1999,56.36444092,-6.026808739,M,adult
M671/99,White-beaked dolphin,Pelagic Dolphins,16/10/1999,10,1999,59.33265686,-2.998261929,U,unknown
M672/99,Harbour porpoise,Harbour porpoise,27/10/1999,10,1999,58.92390823,-2.748498201,U,unknown
M624/99,Harbour porpoise,Harbour porpoise,29/10/1999,10,1999,57.53441238,-6.60331583,F,adult
M626/99,Striped dolphin,Pelagic Dolphins,31/10/1999,10,1999,55.88585663,-6.322691441,M,juvenile
M633/99,Harbour porpoise,Harbour porpoise,04/11/1999,11,1999,57.08533096,-7.312500477,M,juvenile
M634/99,Long-finned pilot whale,Pelagic Dolphins,06/11/1999,11,1999,58.55097961,-4.433327198,F,adult
M638/99,Harbour porpoise,Harbour porpoise,12/11/1999,11,1999,58.59915924,-3.361025572,F,adult
M640/99,Long-finned pilot whale,Pelagic Dolphins,13/11/1999,11,1999,60.19358826,-1.404837489,M,adult
M642/99,Striped dolphin,Pelagic Dolphins,16/11/1999,11,1999,59.94543076,-1.335911751,F,juvenile
M643/99,Minke whale,Baleen Whales,17/11/1999,11,1999,55.4632988,-4.643033981,U,unknown
M644/99,Harbour porpoise,Harbour porpoise,18/11/1999,11,1999,57.66368866,-3.619158745,F,adult
M646/99,Harbour porpoise,Harbour porpoise,21/11/1999,11,1999,57.68047714,-4.014050007,F,juvenile
M648/99,Long-finned pilot whale,Pelagic Dolphins,23/11/1999,11,1999,58.21805954,-5.364234447,F,adult
M649/99,Short-beaked common dolphin,Common Dolphin,26/11/1999,11,1999,57.13234711,-5.972681999,F,adult
M655/99,Short-beaked common dolphin,Common Dolphin,29/11/1999,11,1999,57.60738754,-7.51943922,M,adult
M674/99,Fin whale,Baleen Whales,30/11/1999,11,1999,57.73389053,-7.070351124,U,unknown
M653/99,Minke whale,Baleen Whales,06/12/1999,12,1999,56.20391083,-2.880063057,U,unknown
M669/99,Risso's dolphin,Pelagic Dolphins,08/12/1999,12,1999,56.03015137,-6.260120869,U,unknown
M654/99,Striped dolphin,Pelagic Dolphins,10/12/1999,12,1999,55.78297043,-6.458117008,M,juvenile
M667/99,Short-beaked common dolphin,Common Dolphin,12/12/1999,12,1999,56.51908112,-6.879586697,U,unknown
